Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9
0,846.60274,318.66502,705.33886,683.89098,473.5416,601.01973,94.49934,25.17984,18.38983,379.85281,530.45364
1,856.72746,145.54362,159.88083,947.427,652.57769,452.74395,582.87196,940.94042,224.46614,234.82806,886.32988
2,975.05219,787.2356,862.09083,31.65419,856.52191,104.91116,203.26451,457.73191,425.58288,321.20172,740.39652
3,716.00648,532.34691,782.86363,46.32695,436.39592,277.51762,62.88075,666.19283,519.66441,290.41098,100.31922
4,384.59612,585.844,164.07763,625.77832,776.2507,783.75239,787.6443,431.47816,68.98079,617.77075,33.87518
5,168.62022,247.99394,15.81413,711.85826,813.32305,515.69071,165.79443,139.16811,32.96925,605.14478,730.90883
6,984.99503,648.87237,431.06354,705.61266,366.76907,57.13584,595.79326,396.02275,107.17246,470.48124,565.30882
7,115.96735,166.56698,632.8808,525.6397,349.80147,102.75758,489.44514,101.16148,917.05858,464.42767,771.23498
8,433.52704,43.13873,638.34126,345.04903,457.24218,486.91082,187.74257,641.24632,851.4833,885.30683,422.6866
9,460.07155,506.62405,792.23862,288.66048,81.97129,120.1538,67.17714,25.20946,597.69481,8.95211,562.10605
10,142.27,196.85692,656.23255,857.48361,577.8897,262.02399,284.81654,145.16432,694.05432,786.12907,480.73513
11,611.72372,509.4978,93.96614,138.34142,566.9779,853.04906,776.16366,524.72763,628.60341,244.38496,710.82125
12,284.88592,276.05773,796.85166,725.82564,555.42784,850.35314,644.77996,457.0223,297.67263,662.00051,908.46144
13,313.25646,724.73839,617.02255,822.56891,265.51247,222.2383,247.26564,642.6362,954.45521,546.31363,314.58832
14,566.65963,229.6359,821.5623,885.12909,525.20704,0.28193,626.75093,50.06358,973.62023,354.65437,479.23764
15,107.18733,631.46057,776.24476,702.04145,703.84193,785.31401,289.79529,151.20038,704.47929,673.93049,404.24469
16,235.49552,319.88239,272.90295,964.09761,780.4132,756.00714,130.24656,973.6969,111.01418,979.60406,632.18004
17,604.10125,237.42499,493.79861,587.67585,348.22549,107.61582,764.08716,79.1775,190.64846,769.47683,988.18688
18,924.12313,314.88535,816.27659,216.48673,801.30831,500.62975,412.12151,96.67575,751.03436,411.82136,961.18513
19,467.11321,561.62998,162.16618,384.68646,365.41164,660.88662,416.70051,283.92454,421.80829,147.95302,136.10869
20,161.46841,879.18786,625.39467,317.94608,296.5436,188.16338,659.82017,843.97072,234.43308,955.33785,475.82222
21,324.91134,487.80931,541.74423,590.63538,236.00639,672.17538,235.9459,39.94322,607.44879,881.33572,593.61499
22,705.61523,529.78564,201.85219,187.04132,820.07127,729.01696,626.54575,229.60804,801.27606,99.01622,250.1224
23,511.28481,988.90452,241.5703,755.20014,86.44871,316.34497,353.66596,376.72362,345.90971,763.82195,274.20139
24,378.22463,751.67255,915.16668,412.24918,520.02956,354.86913,820.83677,472.92422,222.50748,563.28777,337.72806
25,334.52108,258.5051,468.32567,340.16088,874.40388,918.04932,607.96367,830.06822,158.25176,285.14174,353.15215
26,423.48174,507.36366,584.70214,159.31113,255.74975,173.15639,742.00448,31.04241,896.50384,205.43564,951.08695
27,792.41636,649.87809,954.1424,105.57673,588.11256,87.72265,33.7668,714.59587,325.13702,540.39832,611.0268
28,250.31285,951.38758,958.85796,491.71098,445.31259,670.66154,550.93243,531.20201,63.23436,479.71144,961.62832
29,751.44918,107.83171,326.26789,252.14028,329.37522,978.1827,5.40297,688.87377,139.43054,24.80954,478.97108
